S.No,Domain,Level,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Frontend,Easy,MCQ,Frontend Easy MCQ Question 1: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
2,Frontend,Easy,MCQ,Frontend Easy MCQ Question 2: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
3,Frontend,Easy,MCQ,Frontend Easy MCQ Question 3: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
4,Frontend,Easy,MCQ,Frontend Easy MCQ Question 4: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
5,Frontend,Easy,MCQ,Frontend Easy MCQ Question 5: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
6,Frontend,Easy,MCQ,Frontend Easy MCQ Question 6: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
7,Frontend,Easy,MCQ,Frontend Easy MCQ Question 7: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
8,Frontend,Easy,MCQ,Frontend Easy MCQ Question 8: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
9,Frontend,Easy,MCQ,Frontend Easy MCQ Question 9: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
10,Frontend,Easy,MCQ,Frontend Easy MCQ Question 10: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
11,Frontend,Medium,MCQ,Frontend Medium MCQ Question 1: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
12,Frontend,Medium,MCQ,Frontend Medium MCQ Question 2: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
13,Frontend,Medium,MCQ,Frontend Medium MCQ Question 3: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
14,Frontend,Medium,MCQ,Frontend Medium MCQ Question 4: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
15,Frontend,Medium,MCQ,Frontend Medium MCQ Question 5: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
16,Frontend,Medium,MCQ,Frontend Medium MCQ Question 6: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
17,Frontend,Medium,MCQ,Frontend Medium MCQ Question 7: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
18,Frontend,Medium,MCQ,Frontend Medium MCQ Question 8: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
19,Frontend,Medium,MCQ,Frontend Medium MCQ Question 9: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
20,Frontend,Medium,MCQ,Frontend Medium MCQ Question 10: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
21,Frontend,Hard,MCQ,Frontend Hard MCQ Question 1: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
22,Frontend,Hard,MCQ,Frontend Hard MCQ Question 2: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
23,Frontend,Hard,MCQ,Frontend Hard MCQ Question 3: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
24,Frontend,Hard,MCQ,Frontend Hard MCQ Question 4: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
